key,ca,eu,gl,es,pt,fr,it,en,de
admin_access_detail,Detall recent,Azken xehetasunak,Pormenores recentes,Detalle reciente,Detalhes recentes,Détail récent,Dettagli recenti,Recent detail,Neueste Details
admin_access_empty,Encara no hi ha intents registrats.,Ez dago saiakerarik erregistratuta oraindik.,Aínda non hai intentos rexistrados.,Aún no hay intentos registrados.,Ainda sem tentativas registadas.,Aucune tentative enregistrée.,Ancora nessun tentativo registrato.,No attempts logged yet.,Noch keine Versuche protokolliert.
admin_access_error,error,akatsa,erro,error,erro,erreur,errore,error,Fehler
admin_access_fail,error,akatsa,Fracaso,error,falha,échec,fallimento,fail,Fehl
admin_access_fails,Errors,Akatsak,Fallas,Errores,Falhas,Échecs,Fallimenti,Fails,Fehlversuche
admin_access_heading,Intents d’accés a operador,Operadorearen sarbide saiakerak,Tentativas de acceso de operadores,Intentos de acceso a operador,Tentativas de acesso do operador,Tentatives d'accès opérateur,Tentativi di accesso operatore,Operator access attempts,Betreiber-Zugangsversuche
admin_access_intro,"Qui ha provat d’entrar (per adreça IP) i quants cops. Després de 5 errors, es bloqueja 30 minuts.","Nork saiatu da saioa hasten (IP helbidearen bidez) eta zenbat aldiz. 5 saiakera huts egin ondoren, kontua 30 minutuz blokeatuta dago.","Quen intentou iniciar sesión (por IP) e cantas veces. Despois de 5 fallos, bloqueado durante 30 minutos.","Quién ha intentado entrar (por dirección IP) y cuántas veces. Tras 5 errores, se bloquea 30 minutos.","Quem tentou entrar (por IP) e quantas vezes. Após 5 falhas, bloqueado por 30 minutos.","Qui a essayé de se connecter (par IP) et combien de fois. Après 5 échecs, verrouillé 30 minutes.","Chi ha tentato l'accesso (per IP) e quante volte. Dopo 5 fallimenti, bloccato per 30 minuti.","Who tried to sign in (by IP) and how many times. After 5 failures, locked for 30 minutes.","Wer versucht hat, sich anzumelden (nach IP) und wie oft. Nach 5 Fehlversuchen, 30 Minuten gesperrt."
admin_access_ip,IP,IP,IP,IP,IP,IP,IP,IP,IP
admin_access_ip_th,IP,IP,IP,IP,IP,IP,IP,IP,IP
admin_access_last,Darrer intent,Azken saiakera,Último intento,Último intento,Última tentativa,Dernière tentative,Ultimo tentativo,Last try,Letzter Versuch
admin_access_my_ip,La teva IP ara,Zure IP helbidea orain,O seu IP agora,Tu IP ahora,O teu IP agora,Ton IP maintenant,Il tuo IP ora,Your IP now,Deine IP jetzt
admin_access_ok,entrada OK,Sarrera Ados,Aceptar o inicio de sesión,entrada OK,OK login,OK connexion,OK accesso,OK login,OK-Anmeldung
admin_access_oks,Correctes,Zuzena,OK,Correctos,OK,OK,OK,OK,OK
admin_back,Tornar a l’admin,Itzuli administraziora,Volver a administrador,Volver al admin,Voltar à administração,Retour à l'administration,Torna all'amministrazione,Back to admin,Zurück zur Verwaltung
admin_create_heading,Crear club (beta),Kluba sortu (beta),Crear club (beta),Crear club (beta),Criar clube (beta),Créer un club (bêta),Crea club (beta),Create club (beta),Verein erstellen (Beta)
admin_create_hint,"Només tu crees clubs. Després envia’ls l’URL, el codi i la contrasenya temporal.","Zuk bakarrik sortzen dituzu klubak. Ondoren, bidali URLa, kodea eta behin-behineko pasahitza.","Só ti creas clubs. A continuación, envíalles o URL, o código e o contrasinal temporal.","Solo tú creas clubs. Luego envíales la URL, el código y la contraseña temporal.","Só tu crias clubes. Depois envia-lhes o URL, o código e a palavra-passe temporária.","Toi seul crées des clubs. Puis envoie-leur l'URL, le code et le mot de passe temporaire.","Solo tu crei i club. Poi inviagli l'URL, il codice e la password temporanea.","Only you create clubs. Then send them the URL, code and temporary password.","Nur du erstellst Vereine. Dann schicke ihnen die URL, den Code und das temporäre Passwort."
admin_create_ok,Club creat: {name}. Codi: {slug}.,Kluba sortua: {name}. Kodea: {slug}.,Club creado: {name}.Código: {slug}.,Club creado: {name}. Código: {slug}.,Clube criado: {name}. Código: {slug}.,Club créé : {name}. Code : {slug}.,Club creato: {name}. Codice: {slug}.,Club created: {name}. Code: {slug}.,Verein erstellt: {name}. Code: {slug}.
admin_create_submit,Crear club,Klub bat sortu,Crear Club,Crear club,Criar clube,Créer le club,Crea club,Create club,Verein erstellen
admin_created_slug_label,Codi de club (envia’l ara):,Klubaren kodea (bidali orain):,Código do club (enviar agora):,Código de club (envíalo ahora):,Código do clube (envia agora):,Code du club (envoie-le maintenant) :,Codice del club (invia ora):,Club code (send it now):,Vereinscode (jetzt senden):
admin_delete_club,Esborrar,Ezabatu,Borrar,Borrar,Apagar,Supprimer,Elimina,Delete,Löschen
admin_delete_confirm,Segur que vols esborrar aquest club i totes les seves dades?,Ziur zaude klub hau eta bere datu guztiak ezabatu nahi dituzula?,Borrar este club e todos os seus datos?,¿Seguro que quieres borrar este club y todos sus datos?,Apagar este clube e todos os seus dados?,Supprimer ce club et toutes ses données ?,Eliminare questo club e tutti i suoi dati?,Delete this club and all its data?,Diesen Verein und alle seine Daten löschen?
admin_delete_ok,Club esborrat: {name}.,Kluba ezabatuta: {name}.,Club eliminado: {name}.,Club borrado: {name}.,Clube apagado: {name}.,Club supprimé : {name}.,Club eliminato: {name}.,Club deleted: {name}.,Verein gelöscht: {name}.
admin_delete_submit,Esborrar aquest club,Ezabatu klub hau,Eliminar Este club,Borrar este club,Apagar este clube,Supprimer ce club,Elimina questo club,Delete this club,Diesen Verein löschen
admin_email_ok,Correu actualitzat per {name}.,{name}-en helbide elektronikoa eguneratu da.,Correo electrónico actualizado a {name}.,Correo actualizado para {name}.,E-mail atualizado para {name}.,E-mail mis à jour pour {name}.,Email aggiornata per {name}.,Email updated for {name}.,E-Mail für {name} aktualisiert.
admin_export_matches,Exportar partits,Esportatu bat-etortzeak,Xogos de exportación,Exportar partidos,Exportar jogos,Exporter les matchs,Esporta partite,Export matches,Spiele exportieren
admin_export_trainings,Exportar entrenaments,Esportazio prestakuntza,Exportar adestramentos,Exportar entrenamientos,Exportar treinos,Exporter les entraînements,Esporta allenamenti,Export trainings,Trainingseinheiten exportieren
admin_gate_bookmark,Desa’l als favorits del navegador. El text «Operador» del login porta els altres al login del club.,Gorde zure gogokoetan. Saioa hasteko &quot;Operadorea&quot; testuak beste batzuk klubaren saioa hasteko orrialdera eramaten ditu.,"Gárdao nos favoritos do teu navegador. O texto ""Operador"" na páxina de inicio de sesión leva a outros ao acceso do club.",Guárdalo en favoritos. El texto «Operador» del login lleva a los demás al login del club.,"Guarda-o nos favoritos do navegador. O texto ""Operador"" na página de login leva os outros para o acesso do clube.","Enregistre-le dans les favoris de ton navigateur. Le texte ""Opérateur"" sur la page de connexion envoie les autres vers l'accès du club.","Salvalo nei preferiti del browser. Il testo ""Operatore"" nella pagina di login porta gli altri all'accesso del club.",Save it in your browser bookmarks. The “Operator” text on the login page sends others to club sign-in.,"Speichere ihn in den Lesezeichen deines Browsers. Der Text ""Betreiber"" auf der Login-Seite leitet andere zum Vereinszugang."
admin_gate_heading,El teu enllaç secret d’operador,Zure operadore sekretuaren esteka,Tu enlace de operador secreto,Tu enlace secreto de operador,O teu link secreto de operador,Ton lien secret d'opérateur,Il tuo link segreto dell'operatore,Your secret operator link,Dein geheimer Betreiber-Link
admin_gate_intro,"Només tu has de tenir aquest enllaç. Sense ell, ningú veu el formulari d’operador.","Zuk bakarrik izan beharko zenuke esteka hau. Hori gabe, inork ezin du operadorearen formularioa ikusi.","Só ti deberías ter este enlace. Sen el, ninguén ve a forma operadora.","Solo tú debes tener este enlace. Sin él, nadie ve el formulario de operador.","Só tu deves ter este link. Sem ele, ninguém vê o formulário de operador.","Toi seul devrais avoir ce lien. Sans lui, personne ne voit le formulaire d'opérateur.","Solo tu dovresti avere questo link. Senza di esso, nessuno vede il modulo operatore.","Only you should have this link. Without it, nobody sees the operator form.",Nur du solltest diesen Link haben. Ohne ihn sieht niemand das Betreiber-Formular.
admin_intro,"Crea els clubs de la beta, posa contrasenya (sense veure l’antiga) i genera enllaços de recuperació. El correu cal per «he oblidat la contrasenya».","Sortu beta klubak, ezarri pasahitz bat (lehengoa ikusi gabe) eta sortu berreskuratzeko estekak. &quot;Pasahitza ahaztu dut&quot; aukerarako helbide elektronikoa beharrezkoa da.","Crear clubs de proba, establecer un contrasinal (sen ver o antigo), ou xerar unha ligazón de recuperación.","Crea los clubs de la beta, pon contraseña (sin ver la antigua) y genera enlaces de recuperación. El correo hace falta para «he olvidado la contraseña».","Criar clubes de teste, definir uma palavra-passe (sem ver a antiga) ou gerar um link de recuperação.","Créer des clubs de test, définir un mot de passe (sans voir l'ancien) ou générer un lien de récupération.","Crea club di test, imposta una password (senza vedere quella vecchia) o genera un link di recupero.","Create beta clubs, set a password (without seeing the old one), or generate a recovery link.","Erstelle Testvereine, setze ein Passwort (ohne das alte zu sehen) oder generiere einen Wiederherstellungslink."
admin_link,Operador,Iteratzaileak,Operador,Operador,Operador,Opérateur,Operatore,Operator,Betreiber
admin_login_autofill_hint,"Si el camp es posa groc sol, esborra’l: el navegador hi ha posat una clau antiga incorrecta.","Eremua bere kabuz hori bihurtzen bada, ezabatu ezazu: arakatzaileak pasahitz zahar okerra sartu du.","Se o campo se fai amarelo por si só, borralo: o navegador introduciu un contrasinal vello incorrecto.","Si el campo se pone amarillo solo, bórralo: el navegador ha puesto una clave antigua incorrecta.","Se o campo ficar amarelo sozinho, apaga-o: o navegador pôs uma palavra-passe antiga errada.","Si le champ devient jaune tout seul, efface-le : le navigateur a rempli un ancien mot de passe erroné.","Se il campo diventa giallo da solo, cancellalo: il browser ha inserito una vecchia password sbagliata.","If the field turns yellow by itself, clear it: the browser filled an old wrong password.","Wenn das Feld von selbst gelb wird, lösche es: der Browser hat ein altes falsches Passwort eingetragen."
admin_login_browser_hint,"Si el navegador omple el camp sol i falla, esborra’l i escriu la clau a mà.","Nabigatzaileak eremua automatikoki betetzen badu eta huts egiten badu, ezabatu ezazu eta idatzi pasahitza eskuz.","Se o navegador enche o campo por si só e falla, borralo e escribir o contrasinal a man.","Si el navegador rellena el campo solo y falla, bórralo y escribe la clave a mano.","Se o navegador preencher o campo sozinho e falhar, apaga-o e escreve a palavra-passe à mão.","Si le navigateur remplit le champ tout seul et échoue, efface-le et écris le mot de passe à la main.","Se il browser compila il campo da solo e fallisce, cancellalo e scrivi la password a mano.","Si el navegador omple el camp sol i falla, esborra’l i escriu la clau a mà.","Wenn der Browser das Feld automatisch ausfüllt und es fehlschlägt, lösche es und gib das Passwort von Hand ein."
admin_login_denied,Aquesta adreça no té permís per a l’operador.,Helbide hau ez dago baimenduta operadorearentzat.,Este enderezo non está permitido para o operador.,Esta dirección no tiene permiso para el operador.,Este endereço não tem permissão para o operador.,Cette adresse n'a pas le droit d'opérateur.,Questo indirizzo non ha permessi da operatore.,This address is not allowed for the operator.,Diese Adresse ist für den Betreiber nicht zugelassen.
admin_login_error,Contrasenya d’operador incorrecta.,Operadorearen pasahitz okerra.,Contrasinal incorrecto do operador.,Contraseña de operador incorrecta.,Palavra-passe do operador incorreta.,Mot de passe opérateur incorrect.,Password operatore errata.,Wrong operator password.,Falsches Betreiber-Passwort.
admin_login_heading,Operador,Iteratzaileak,Operador,Operador,Operador,Opérateur,Operatore,Operator,Betreiber
admin_login_lead,Gestió d’accessos dels clubs.,Klubaren sarbideen kudeaketa.,Xestionar o acceso ao club.,Gestión de accesos de los clubs.,Gerir acessos dos clubes.,Gérer les accès des clubs.,Gestire gli accessi dei club.,Manage club access.,Vereinszugänge verwalten.
admin_login_locked,Massa intents fallits. Aquesta adreça queda bloquejada uns {mins} minuts.,Saiakera huts gehiegi izan dira. Helbide hau blokeatuta egongo da gutxi gorabehera {mins} minutuz.,Demasiados intentos fallados. Este enderezo é bloqueado sobre os minutos de {mins}.,Demasiados intentos fallidos. Esta dirección queda bloqueada unos {mins} minutos.,Demasiadas tentativas falhadas. Este endereço fica bloqueado cerca de {mins} minutos.,Trop de tentatives échouées. Cette adresse est bloquée environ {mins} minutes.,Troppi tentativi falliti. Questo indirizzo è bloccato per circa {mins} minuti.,Too many failed attempts. This address is locked for about {mins} minutes.,Zu viele Fehlversuche. Diese Adresse ist für etwa {mins} Minuten gesperrt.
admin_login_locked_hint,Obre el teu enllaç secret d’operador (favorits) per desbloquejar.,Ireki zure operadore sekretuaren esteka (gogokoak) desblokeatzeko.,Abra seu link de operador secreto (favoritos) para desbloquear.,Abre tu enlace secreto de operador (favoritos) para desbloquear.,Abre o teu link secreto de operador (favoritos) para desbloquear.,Ouvre ton lien secret d'opérateur (favoris) pour débloquer.,Apri il tuo link segreto dell'operatore (preferiti) per sbloccare.,Open your secret operator link (bookmarks) to unlock.,"Öffne deinen geheimen Betreiber-Link (Lesezeichen), um die Sperre aufzuheben."
admin_login_no_recovery,Encara no hi ha paraula de recuperació configurada.,Ez dago berreskuratze-hitzik ezarrita oraindik.,Aínda non hai ningunha palabra de recuperación configurada.,Aún no hay palabra de recuperación configurada.,Ainda não há palavra de recuperação configurada.,Aucun mot de récupération n'est configuré.,Nessuna parola di recupero configurata.,Encara no hi ha paraula de recuperació configurada.,Noch kein Wiederherstellungswort eingerichtet.
admin_login_recovery_prompt,Has fallat abans des d’aquí. Escriu la paraula de recuperació per tornar a provar la contrasenya.,Aurretik huts egin duzu hemendik. Sartu berreskuratze-hitza pasahitza berriro saiatzeko.,Aquí fallaches algunha vez. Escriba o contrasinal de recuperación para volver probar o contrasinal.,Has fallado antes desde aquí. Escribe la palabra de recuperación para volver a probar la contraseña.,Já falhaste aqui antes. Escreve a palavra de recuperação para voltar a tentar a palavra-passe.,Tu as déjà échoué ici. Écris le mot de récupération pour réessayer le mot de passe.,Hai già fallito qui. Scrivi la parola di recupero per riprovare la password.,Has fallat abans des d’aquí. Escriu la paraula de recuperació per tornar a provar la contrasenya.,"Du bist hier schon einmal gescheitert. Gib das Wiederherstellungswort ein, um das Passwort erneut zu prüfen."
